1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALQUILER DE VEHÍCULOS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"18107,89","18107,89"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,"PAGO PONTÓN, PEAJES, ETC",A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"19964,9","19964,9"
1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,GUIAS LOCALES,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"20018,61","20018,61"
1232,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5213,63","5213,63"
1232,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"3856,48","3856,48"
1232,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5213,64","5213,64"
1232,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5213,64","5213,64"
1232,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"4441,32","4441,32"
1232,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"3429,12","3429,12"
1232,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5213,64","5213,64"
1234,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,"MAT. Y SUM, PROD. PLANTINES",A.2.2.6,Implementar medidas de proteccion en la cuenca del arroyo Bahia ,1,"54684,98","54684,98"
1234,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,CANALES INFORMATYIVOS,A.2.2.6,Implementar medidas de proteccion en la cuenca del arroyo Bahia ,1,"8908,83","8908,83"
1234,AFD,EQUIPAMIENTO_TECNICO_AFD,DESBROZADORA Y BOMBA DE AGUA,A.2.2.6,Implementar medidas de proteccion en la cuenca del arroyo Bahia ,1,"6093,46","6093,46"
1234,AFD,EQUIPAMIENTO_TECNICO_AFD,TUBOS DE POLIETILENO,A.2.2.6,Implementar medidas de proteccion en la cuenca del arroyo Bahia ,1,"624,97","624,97"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALIMENTACIÓN / VÍVERES,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"4922,89","4922,89"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALQUILER DE SALÓN,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6683,84","6683,84"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,PASAJES TERRESTRES NACIONALES,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"4090,1","4090,1"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,HOSPEDAJE NACIONAL,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"5512,42","5512,42"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,VIÁTICOS,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"1283,57","1283,57"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,COMBUSTIBLE,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6764,9","6764,9"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALQUILER DE VEHÍCULOS,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6862,42","6862,42"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,"PAGO PONTÓN, PEAJES, ETC",A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6862,39","6862,39"
1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,SUMINISTROS DE OFICINA,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"1359,14","1359,14"
1241,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"1580,6","1580,6"
1241,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"2182,32","2182,32"
1241,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"7884,3","7884,3"
1241,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"7972,85","7972,85"
1241,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"6063,39","6063,39"
1241,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"560,45","560,45"
1241,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"6153,31","6153,31"
1241,AFD,VIAJES_AFD,TRANSPORTE TERRESTRE,A. 2.2.5,Reuniones de Comites de Gestion ,1,"7718,21","7718,21"
1241,AFD,VIAJES_AFD,VIATICOS CAMPO (ACEAA),A. 2.2.5,Reuniones de Comites de Gestion ,1,4000,4000
1241,AFD,VIAJES_AFD,ALIMENTACION TALLERES,A. 2.2.5,Reuniones de Comites de Gestion ,1,10000,10000
1241,AFD,VIAJES_AFD,HOSPEDAJE TERCEROS,A. 2.2.5,Reuniones de Comites de Gestion ,1,15176,15176
1241,AFD,VIAJES_AFD,HOSPEDAJE ACEAA,A. 2.2.5,Reuniones de Comites de Gestion ,1,4000,4000
1241,AFD,VIAJES_AFD,VIÁTICOS TERCEROS,A. 2.2.5,Reuniones de Comites de Gestion ,1,6000,6000
1242,AFD,VIAJES_AFD,TRANSPORTE TERRESTRE,A.2.1.5,Desarrollar estatutos de comites de gestión ,1,5000,5000
1242,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,ALQUILER DE SALÓN (CIUDAD),A.2.1.5,Desarrollar estatutos de comites de gestión ,1,2000,2000
1242,AFD,VIAJES_AFD,HOSPEDAJE TERCEROS,A.2.1.5,Desarrollar estatutos de comites de gestión ,1,4000,4000
1242,AFD,VIAJES_AFD,VIÁTICOS TERCEROS,A.2.1.5,Desarrollar estatutos de comites de gestión ,1,4000,4000
1242,AFD,VIAJES_AFD,ALIMENTACION TALLERES,A.2.1.5,Desarrollar estatutos de comites de gestión ,1,"12090,22","12090,22"
1242,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,ALQUILER DE SALÓN (COMUN. Y PUEBLOS),A.2.1.5,Desarrollar estatutos de comites de gestión ,1,"5555,3","5555,3"
1242,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,ALQUILER DE VEHICULOS (INCLUYE BOTES),A.2.1.5,Desarrollar estatutos de comites de gestión ,1,"12396,22","12396,22"
1242,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,MATERIALES DE OFICINA,A.2.1.5,Desarrollar estatutos de comites de gestión ,1,"2556,7","2556,7"
1243,AFD,ESTUDIOS_CONSULTORIAS_AFD,CONS. ACUERD. LOC. GESTION AGUA,A.2.1.6,Desarrollar acuerdos de conservacion ,1,"109369,96","109369,96"
1243,AFD,VIAJES_AFD,VIÁTICOS TERCEROS,A.2.1.6,Desarrollar acuerdos de conservacion ,1,4000,4000
1243,AFD,VIAJES_AFD,HOSPEDAJE ACEAA,A.2.1.6,Desarrollar acuerdos de conservacion ,1,4000,4000
1243,AFD,VIAJES_AFD,ALIMENTACION TALLERES,A.2.1.6,Desarrollar acuerdos de conservacion ,1,8000,8000
1243,AFD,VIAJES_AFD,TRANSPORTE TERRESTRE,A.2.1.6,Desarrollar acuerdos de conservacion ,1,2640,2640
1243,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,ALQUILER DE SALÓN (COMUN. Y PUEBLOS),A.2.1.6,Desarrollar acuerdos de conservacion ,1,2000,2000
1243,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,ALQUILER DE SALÓN (CIUDAD),A.2.1.6,Desarrollar acuerdos de conservacion ,1,2000,2000
1243,AFD,COMPRAS_Y_SERVICIOS_EXT_AFD,ALQUILER DE VEHICULOS (INCLUYE BOTES),A.2.1.6,Desarrollar acuerdos de conservacion ,1,5000,5000
1243,AFD,AFD_N_A,N/A,NN,Elaboración de 1 documento de mecanismos financieros para 9 áreas protegidas de Pando,1,164000,164000
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALIMENTACIÓN / VÍVERES,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,0,0
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE SALÓN,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"6113,23","6113,23"
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,PASAJES TERRESTRES NACIONALES,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"4023,43","4023,43"
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,HOSPEDAJE NACIONAL,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"3382,13","3382,13"
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,VIÁTICOS,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,0,0
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,COMBUSTIBLE,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"3783,62","3783,62"
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE VEHÍCULOS,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"6113,23","6113,23"
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"5335,37","5335,37"
1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,SUMINISTROS DE OFICINA,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"1445,15","1445,15"
1251,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"6416,78","6416,78"
1251,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"215,53","215,53"
1251,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"6416,78","6416,78"
1251,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"6416,78","6416,78"
1251,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"1043,09","1043,09"
1251,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,0,0
1251,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"5741,78","5741,78"
1251,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"10115,31","10115,31"
1251,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15335,31","15335,31"
